tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",1,Colombia,"Valle del Cauca",3.8582540,-76.8068820,2022-07-25,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. From edge of the town (3.85825, -76.80688) of Triana up to the wooden observation platform near second cell tower (~565 meters elevation; 3.85487, -76.81732). Very steep hike up through nice secondary/logged forest. With Eamon and guide Gustavo (from Triana). Light rain on and off."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birds seen as we walked through town from the brujita stop to the entrance of the reserve.  With Andre, Sebastian, and Yenifer"
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr169881,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birds seen as we walked through town from the brujita stop to the entrance of the reserve.  With Andre, Sebastian, and Yenifer"
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr792981,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego Cueva, Maira Holguín, and Sebastian Pérez-Peña. Stationary count from the balcony next to our rooms overlooking the river. A large, fruiting Cecropia was drawing in a steady stream of frugivores."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr436508,"Manacus2022_LSU + Humboldt Institute. With Diego Cueva, Maira Holguín, and Sebastian Pérez-Peña. Stationary count from the balcony next to our rooms overlooking the river. A large, fruiting Cecropia was drawing in a steady stream of frugivores."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr792981,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr803013,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker",2,Colombia,"Valle del Cauca",3.8678322,-76.8308520,2022-07-23,obsr792981,""
10680,species,"Melanerpes rubricapillus","Red-crowned Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr436508,Manacus2022_
10680,species,"Melanerpes rubricapillus","Red-crowned Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr792981,""
10680,species,"Melanerpes rubricapillus","Red-crowned Woodpecker",1,Colombia,"Valle del Cauca",3.8435270,-76.7932520,2022-07-11,obsr803013,""
11042,species,"Campephilus melanoleucos","Crimson-crested Woodpecker",2,Colombia,"Valle del Cauca",3.8580750,-76.8057300,2022-07-24,obsr436508,"Manacus2022_Guía Gustavo Banguera"
11236,slash,"Campephilus sp./Dryocopus lineatus","Campephilus sp./Lineated Woodpecker",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Yenifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
11236,slash,"Campephilus sp./Dryocopus lineatus","Campephilus sp./Lineated Woodpecker",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Jennifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
11236,slash,"Campephilus sp./Dryocopus lineatus","Campephilus sp./Lineated Woodpecker",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr792981,""
11262,species,"Celeus loricatus","Cinnamon Woodpecker",1,Colombia,"Valle del Cauca",3.8582540,-76.8068820,2022-07-25,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. From edge of the town (3.85825, -76.80688) of Triana up to the wooden observation platform near second cell tower (~565 meters elevation; 3.85487, -76.81732). Very steep hike up through nice secondary/logged forest. With Eamon and guide Gustavo (from Triana). Light rain on and off."
